S.No,AnimalID,SH,Breed,Sex,N_TBL_Plus,N_Culture_Plus,Culture_status
1,    13/1/2020402,Sululta,Cross,Male,1,1,1
2,    13/10/201928,Sululta,Cross,Female,1,0,0
3,    13/12/2019308,Burayu,Zebu,Male,3,1,1
4,    13/5/2019186,Sululta,Zebu,Male,1,0,0
5,    13/5/201951,Sululta,Zebu,Male,1,0,0
6,    13/7/2019181,Burayu,Zebu,Male,1,0,0
7,    14/10/2019314,Burayu,Zebu,Male,4,0,0
8,    14/10/201971,Sululta,Cross,Female,1,0,0
9,    14/7/201930,Sululta,Cross,Female,4,4,1
10,    15/1/2020101,Sululta,Zebu,Male,1,0,0
11,    15/11/2019402,Burayu,Zebu,Male,1,0,0
12,    15/3/2020249,Sululta,Zebu,Male,5,0,0
13,    15/6/20199,Sululta,Cross,Female,3,0,0
14,    15/6/20199F,Sululta,Cross,Female,2,1,1
15,    15/6/20199M,Sululta,Zebu,Male,2,0,0
16,    15/7/20199,Sululta,Cross,Female,3,0,0
17,    16/10/201977,Sululta,Cross,Female,2,0,0
18,    16/11/201959,Sululta,Cross,Female,1,0,0
19,    16/12/20196,Sululta,Zebu,Male,2,0,0
20,    16/2/2020140,Sululta,Cross,Female,4,0,0
21,    16/6/2019S3,Burayu,Zebu,Male,3,0,0
22,    17/1/202095A,Sululta,Cross,Female,1,1,1
23,    17/1/202095B,Sululta,Cross,Female,3,1,1
24,    17/11/201951,Sululta,Cross,Female,1,0,0
25,    17/2/2020249,Sululta,Cross,Female,2,1,1
26,    17/6/2019S2,Burayu,Zebu,Male,2,0,0
27,    18/1/2018180,Adama,Zebu,Male,1,0,0
28,    18/1/201838,Adama,Zebu,Male,2,0,0
29,    18/10/201922,Sululta,Cross,Male,1,1,1
30,    18/10/201928,Sululta,Zebu,Female,1,0,0
31,    18/11/20194,Sululta,Zebu,Male,2,0,0
32,    18/12/2019314,Sululta,Cross,Male,2,1,1
33,    18/12/201973,Burayu,Zebu,Male,1,0,0
34,    18/3/2020119,Sululta,Zebu,Male,2,1,1
35,    18/3/20204,Adama,Zebu,Male,1,0,0
36,    18/5/2019119,Sululta,Cross,Female,4,1,1
37,    18/6/2019S2,Burayu,Zebu,Male,2,0,0
38,    18/8/201916,Sululta,Zebu,Male,1,0,0
39,    18/8/201959,Sululta,Zebu,Male,1,0,0
40,    19/1/202030,Sululta,Cross,Female,3,1,1
41,    19/2/202025,Burayu,Zebu,Male,1,0,0
42,    19/2/2020470,Burayu,Zebu,Male,2,0,0
43,    20/1/2020501,Burayu,Zebu,Male,1,0,0
44,    20/11/201937,Sululta,Cross,Female,4,1,1
45,    20/12/201956,Burayu,Zebu,Male,1,0,0
46,    20/2/2020232,Burayu,Zebu,Male,2,0,0
47,    20/2/2020320,Burayu,Zebu,Male,1,0,0
48,    20/2/2020483,Burayu,Zebu,Male,1,0,0
49,    20/4/202057,Sululta,Cross,Male,2,1,1
50,    21/1/2020280,Burayu,Zebu,Male,3,2,1
51,    21/6/2019S2,Burayu,Zebu,Male,2,0,0
52,    22/11/201933,Sululta,Cross,Female,2,0,0
53,    22/11/2019430,Burayu,Zebu,Male,3,0,0
54,    22/2/2018135A,Adama,Zebu,Male,1,0,0
55,    22/2/2020374,Burayu,Zebu,Male,1,0,0
56,    22/2/2020470,Burayu,Zebu,Male,1,0,0
57,    22/6/201913,Sululta,Zebu,Male,1,0,0
58,    22/7/2019S1,Burayu,Zebu,Male,1,0,0
59,    22/9/2019249,Sululta,Cross,Female,4,3,1
60,    23/1/2020305,Burayu,Zebu,Male,2,0,0
61,    23/10/2019S3,Burayu,Zebu,Male,3,0,0
62,    23/2/2020374,Burayu,Zebu,Male,1,0,0
63,    23/2/202040,Burayu,Zebu,Male,1,0,0
64,    23/5/20197,Sululta,Cross,Female,2,1,1
65,    23/8/2019501,Burayu,Zebu,Male,4,2,1
66,    24/5/201937,Sululta,Zebu,Male,2,0,0
67,    24/7/201957,Sululta,Zebu,Male,1,0,0
68,    24/7/2019S2,Burayu,Zebu,Male,3,2,1
69,    24/8/2019136,Sululta,Zebu,Male,1,0,0
70,    25/1/2020249,Sululta,Cross,Male,3,2,1
71,    25/10/2019245,Sululta,Cross,Female,1,0,0
72,    25/10/201961,Sululta,Zebu,Male,4,0,0
73,    25/11/2019322,Burayu,Zebu,Male,3,0,0
74,    25/4/202030,Sululta,Cross,Female,3,1,1
75,    25/7/2019S1,Burayu,Zebu,Male,1,1,1
76,    25/8/201959,Sululta,Cross,Female,1,0,0
77,    26/10/2019204,Burayu,Zebu,Male,2,0,0
78,    26/8/2019279,Sululta,Zebu,Male,1,0,0
79,    27/10/2019208,Burayu,Zebu,Male,3,0,0
80,    27/10/201928A,Sululta,Cross,Female,6,1,1
81,    27/10/201928B,Sululta,Cross,Female,2,1,1
82,    27/4/202042,Sululta,Cross,Female,1,1,1
83,    27/7/2019279,Sululta,Cross,Female,3,1,1
84,    27/7/2019320,Sululta,Cross,Male,2,1,1
85,    28/10/2019HIL3,Burayu,Zebu,Male,4,1,1
86,    28/2/20204,Sululta,Zebu,Male,2,0,0
87,    28/4/2020249,Sululta,Cross,Female,2,1,1
88,    28/5/201960,Burayu,Zebu,Male,1,0,0
89,    29/10/2019S2,Burayu,Zebu,Male,2,0,0
90,    29/11/2019356,Burayu,Zebu,Male,3,2,1
91,    29/11/2019400A,Sululta,Zebu,Male,4,2,1
92,    29/11/2019400B,Sululta,Zebu,Male,6,1,1
93,    29/12/20198,Sululta,Cross,Female,3,1,1
94,    29/6/2019533,Burayu,Zebu,Male,3,0,0
95,    29/7/201910,Sululta,Zebu,Female,2,0,0
96,    29/7/201927,Sululta,Zebu,Male,2,0,0
97,    30/10/2019204,Burayu,Zebu,Male,2,0,0
98,    30/4/201951,Sululta,Cross,Female,4,1,1
99,    30/4/202035,Sululta,Zebu,Male,4,0,0
100,    30/5/201922,Sululta,Cross,Male,2,0,0
101,    30/8/2019249A,Sululta,Cross,Female,2,0,0
102,    30/8/2019249B,Sululta,Cross,Female,2,0,0
103,    31/1/202030,Sululta,Cross,Female,6,1,1
104,    31/7/2019402,Burayu,Zebu,Male,5,1,1
105,    31/8/2019249C,Sululta,Cross,Female,4,4,1
106,    31/8/2019249D,Sululta,Cross,Female,5,3,1
107,    43405111B,Adama,Zebu,Male,1,1,1
108,    4340511A11,Adama,Zebu,Male,2,0,0
109,    43474249E,Sululta,Cross,Female,4,1,1
110,    43474249F,Sululta,Cross,Female,4,0,0
111,    4347678,Sululta,Cross,Female,3,2,1
112,    43504S3,Burayu,Zebu,Male,3,0,0
113,    43507272,Burayu,Zebu,Male,4,1,1
114,    43529283,Sululta,Zebu,Male,2,1,1
115,    4353130,Sululta,Cross,Female,4,2,1
116,    4353530,Sululta,Cross,Female,4,2,1
117,    4356279,Burayu,Zebu,Male,4,1,1
118,    4356357,Burayu,Zebu,Male,2,0,0
119,    43564S5,Burayu,Zebu,Male,5,1,1
120,    43566S1,Burayu,Zebu,Male,1,1,1
121,    43566S3,Burayu,Zebu,Male,3,0,0
122,    43591361,Burayu,Zebu,Male,1,0,0
123,    43593441,Burayu,Zebu,Male,3,0,0
