S.No.,SH,DateOfExam,ButcherID,AnimalID,Sex,Breed,TBL_1Pos_0Neg,NumberofTBLPosTissuesSampled
1,Sululta,30/4/2019,NR1,30/4/2019NR1,Male,Zebu,0,0
2,Sululta,30/4/2019,NR2,30/4/2019NR2,Male,Zebu,0,0
3,Sululta,30/4/2019,NR3,30/4/2019NR3,Male,Zebu,0,0
4,Sululta,30/4/2019,NR4,30/4/2019NR4,Male,Zebu,0,0
5,Sululta,30/4/2019,NR5,30/4/2019NR5,Male,Zebu,0,0
6,Sululta,30/4/2019,NR6,30/4/2019NR6,Male,Zebu,0,0
7,Sululta,30/4/2019,NR7,30/4/2019NR7,Male,Zebu,0,0
8,Sululta,30/4/2019,NR8,30/4/2019NR8,Male,Zebu,0,0
9,Sululta,30/4/2019,NR9,30/4/2019NR9,Male,Zebu,0,0
10,Sululta,30/4/2019,NR10,30/4/2019NR10,Male,Zebu,0,0
11,Sululta,30/4/2019,NR11,30/4/2019NR11,Male,Zebu,0,0
12,Sululta,30/4/2019,NR12,30/4/2019NR12,Male,Zebu,0,0
13,Sululta,30/4/2019,NR13,30/4/2019NR13,Male,Zebu,0,0
14,Sululta,30/4/2019,51,30/4/201951,Female,Zebu,1,3
15,Sululta,30/4/2019,NR15,30/4/2019NR15,Female,Cross,0,0
16,Sululta,30/4/2019,NR14,30/4/2019NR14,Female,Zebu,0,0
17,Sululta,30/4/2019,NR16,30/4/2019NR16,Female,Cross,0,0
18,Sululta,30/4/2019,NR17,30/4/2019NR17,Female,Cross,0,0
19,Sululta,30/4/2019,NR18,30/4/2019NR18,Female,Cross,0,0
20,Sululta,30/4/2019,NR19,30/4/2019NR19,Female,Cross,0,0
21,Sululta,30/4/2019,NR20,30/4/2019NR20,Female,Cross,0,0
22,Sululta,1/5/2019,300,43835300,Male,Cross,1,1
23,Sululta,1/5/2019,NR1,43470NR1,Male,Zebu,0,0
24,Sululta,1/5/2019,NR2,43470NR2,Male,Zebu,0,0
25,Sululta,1/5/2019,NR3,43470NR3,Male,Zebu,0,0
26,Sululta,1/5/2019,NR4,43470NR4,Male,Zebu,0,0
27,Sululta,1/5/2019,NR5,43470NR5,Male,Zebu,0,0
28,Sululta,1/5/2019,NR6,43470NR6,Male,Zebu,0,0
29,Sululta,1/5/2019,NR7,43470NR7,Male,Zebu,0,0
30,Sululta,1/5/2019,NR8,43470NR8,Male,Zebu,0,0
31,Sululta,1/5/2019,NR9,43470NR9,Male,Zebu,0,0
32,Sululta,1/5/2019,NR10,43470NR10,Male,Zebu,0,0
33,Sululta,1/5/2019,NR11,43470NR11,Male,Zebu,0,0
34,Sululta,1/5/2019,NR12,43470NR12,Female,Zebu,0,0
35,Sululta,1/5/2019,NR13,43470NR13,Female,Zebu,0,0
36,Sululta,1/5/2019,NR14,43470NR14,Female,Zebu,0,0
37,Sululta,1/5/2019,NR15,43470NR15,Female,Zebu,0,0
38,Sululta,1/5/2019,NR16,43470NR16,Female,Zebu,0,0
39,Sululta,1/5/2019,NR17,43470NR17,Female,Cross,0,0
40,Sululta,1/5/2019,NR18,43470NR18,Female,Cross,0,0
41,Sululta,1/5/2019,NR19,43470NR19,Female,Cross,0,0
42,Sululta,1/5/2019,NR20,43470NR20,Female,Cross,0,0
43,Sululta,2/5/2019,NR1,43501NR1,Male,Zebu,0,0
44,Sululta,2/5/2019,NR2,43501NR2,Male,Zebu,0,0
45,Sululta,2/5/2019,NR3,43501NR3,Male,Zebu,0,0
46,Sululta,2/5/2019,NR4,43501NR4,Male,Zebu,0,0
47,Sululta,2/5/2019,NR5,43501NR5,Male,Zebu,0,0
48,Sululta,2/5/2019,NR6,43501NR6,Male,Zebu,0,0
49,Sululta,2/5/2019,NR7,43501NR7,Male,Zebu,0,0
50,Sululta,2/5/2019,NR8,43501NR8,Male,Zebu,0,0
51,Sululta,2/5/2019,NR9,43501NR9,Male,Zebu,0,0
52,Sululta,2/5/2019,NR10,43501NR10,Male,Zebu,0,0
53,Sululta,2/5/2019,NR11,43501NR11,Male,Zebu,0,0
54,Sululta,2/5/2019,NR12,43501NR12,Male,Zebu,0,0
55,Sululta,2/5/2019,NR13,43501NR13,Male,Zebu,0,0
56,Sululta,2/5/2019,NR14,43501NR14,Male,Zebu,0,0
57,Sululta,2/5/2019,NR15,43501NR15,Male,Zebu,0,0
58,Sululta,2/5/2019,NR16,43501NR16,Male,Zebu,0,0
59,Sululta,2/5/2019,NR17,43501NR17,Female,Cross,0,0
